,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
28,Door De Wind,Miss Montreal,3h7NZT1CATbn4GqUs51vwf,0.579,0.0945,3,-18.377,1,0.0396,0.705,4.27e-06,0.0817,0.353,123.994
29,One,Metallica,5IX4TbIR5mMHGE4wiWwKW0,0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178
30,Papa,Stef Bos,6NP6BCW2M2I4vdcnXMAvjl,0.744,0.322,0,-13.004,1,0.0337,0.718,1.62e-06,0.0841,0.294,119.941
31,Just Breathe,Pearl Jam,6i81qFkru6Kj1IEsB7KNp2,0.473,0.348,0,-11.1,1,0.0288,0.721,7.42e-05,0.0823,0.283,107.819
32,Radar Love,Golden Earring,5tU9JM1v72X7oM808Am6Fq,0.504,0.719,1,-9.155,0,0.0431,0.00878,0.00149,0.075,0.177,102.144
33,Paradise By the Dashboard Light,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381
34,Sweet Child O' Mine,Guns N' Roses,7o2CTH4ctstm8TNelqjb51,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116
35,In The Air Tonight - 2015 Remastered,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507
36,Shallow,Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799
37,Over De Muur,Klein Orkest,5rAG0XusRfyLrzYV7A7lBL,0.612,0.321,0,-15.231,1,0.0506,0.629,1.05e-05,0.144,0.287,95.977
38,A Forest,The Cure,4iVTSRiJAA18d3QglhyJ6Q,0.587,0.493,0,-14.927,1,0.0505,0.423,0.712,0.0909,0.451,161.222
39,Hurt,Johnny Cash,28cnXtME493VX9NOw9cIUh,0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379
40,Go Your Own Way - 2004 Remaster,Fleetwood Mac,07GvNcU1WdyZJq3XxP0kZa,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448
41,Telegraph Road,Dire Straits,0Bg100ruK1ZD7H96rNo6fR,0.381,0.59,2,-10.108,0,0.0321,0.0152,0.464,0.169,0.282,123.272
42,Viva La Vida,Coldplay,3Fcfwhm8oRrBvBZ8KGhtea,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
43,"Paint It, Black",The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691
44,School,Supertramp,6fnachl7fIn5dqIjakfJ57,0.366,0.468,4,-14.514,0,0.0826,0.537,0.0283,0.0664,0.0506,90.281
45,Innuendo - Remastered 2011,Queen,0BzhS74ByIVlyz8BedHaYi,0.346,0.728,1,-5.747,1,0.0451,0.187,0.00379,0.344,0.174,74.939
46,Het Dorp,Wim Sonneveld,3q0a21nZ31rOAk5p3UQaRG,0.368,0.32,7,-16.267,1,0.0437,0.752,0.000351,0.103,0.462,111.762
47,Bridge Over Troubled Water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764
48,In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
49,Let It Be - Remastered 2009,The Beatles,7iN1s7xHE4ifF5povM6A48,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462
50,Killing In The Name,Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785
51,Sunday Bloody Sunday - Remastered 2008,U2,6C4LXC9UFH1IKiHYOp0BiJ,0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174
52,With Or Without You - Remastered,U2,6ADSaE87h8Y3lccZlBJdXH,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171
53,Mag Ik Dan Bij Jou,Claudia De Breij,4erVCd7Ax8SEPRUvXRdRg4,0.543,0.289,0,-9.507,1,0.0343,0.97,0.00692,0.708,0.194,131.697
54,Don't Stop Me Now - Remastered 2011,Queen,5T8EDUDqKcs6OSOwEsfqG7,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295
55,Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804
56,Alive,Pearl Jam,1L94M3KIu7QluZe63g64rv,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009
57,Back To Black,Amy Winehouse,30FURVTCpbKyykjSEQzGkH,0.49,0.725,10,-3.304,1,0.0392,0.123,2.68e-05,0.0983,0.335,123.28
58,Under Pressure,Queen,5oidljiMjeJTWUGZ4TfFea,0.678,0.643,2,-9.316,1,0.0444,0.24,0.0,0.0708,0.534,113.46
59,"Somebody To Love - Live At The Freddie Mercury Tribute Concert For AIDS Awareness, Wembley / 1992",Queen,3g8OM1tEhwNQqsXDHhVbQQ,0.423,0.888,7,-6.126,1,0.0472,0.049,0.0,0.978,0.419,109.18
60,The Scientist,Coldplay,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277
61,Creep,Radiohead,70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844
62,God Only Knows - Remastered 1997 / Mono,The Beach Boys,6iGU74CwXuT4XVepjc9Emf,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072
63,Jolene,Dolly Parton,2SpEHTbUuebeLkgs9QB7Ue,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578
64,Cold Little Heart,Michael Kiwanuka,0qprlw0jfsW4H9cG0FFE0Z,0.489,0.404,8,-7.815,1,0.0261,0.487,0.0485,0.14,0.153,108.01
65,Sympathy For The Devil,The Rolling Stones,75zMKn5euxQdlkZgu4P42J,0.728,0.681,9,-10.943,1,0.221,0.61,0.0,0.0559,0.578,115.944
66,One,U2,3G69vJMWsX6ZohTykad2AU,0.392,0.534,0,-8.793,1,0.0369,0.245,0.00104,0.155,0.325,181.305
67,Enter Sandman,Metallica,5sICkBXVmaCQk5aISGR3x1,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257
68,Brabant,Guus Meeuwis,0GiWi4EkPduFWHQyhiKpRB,0.407,0.466,7,-7.054,1,0.0311,0.561,0.00894,0.103,0.387,81.568
69,Somebody To Love - Remastered 2011,Queen,4rDbp1vnvEhieiccprPMdI,0.406,0.698,8,-7.024,1,0.0624,0.186,0.0,0.233,0.333,109.266
70,Zoutelande (feat. Geike),BLØF,0le8EcVp4x1JjMhwRKIOVi,0.67,0.643,6,-7.198,0,0.0286,0.221,1.58e-05,0.142,0.893,129.013
71,Mr. Blue Sky,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765
72,Pastorale,Liesbeth List,50a6StrR0wfLLYKqBl1mvg,0.483,0.392,2,-14.33,1,0.0285,0.498,0.0,0.389,0.395,111.794
73,Lose Yourself,Eminem,7MJQ9Nfxzh8LPZ9e9u68Fq,0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403
74,Fool's Overture,Supertramp,5pSSEkT0963muzzIjsVkrs,0.406,0.306,3,-10.482,1,0.0372,0.313,0.0079,0.0727,0.073,135.272
75,Sorry,Kensington,07uuo1yEND3oinbFZnYOvx,0.461,0.409,4,-8.479,0,0.0315,0.502,0.0,0.0979,0.0895,133.956
76,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,7rPzEczIS574IgPaiPieS3,0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126
77,Highway to Hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
78,Angie,The Rolling Stones,1GcVa4jFySlun4jLSuMhiq,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302
79,Under the Bridge,Red Hot Chili Peppers,3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581
80,Riders on the Storm,The Doors,14XWXWv5FoCbFzLksawpEe,0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886
81,Angels,Robbie Williams,1M2nd8jNUkkwrc1dgBPTJz,0.429,0.594,4,-6.251,1,0.0277,0.156,4.95e-06,0.1,0.236,150.22
82,Here Comes The Sun - Remastered 2009,The Beatles,6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
83,Old and Wise,The Alan Parsons Project,5Jt2AQv1c3RUF5ENtAYF1i,0.375,0.317,0,-11.741,0,0.0315,0.727,2.92e-05,0.123,0.12,112.003
84,Who Wants To Live Forever - Remastered 2011,Queen,3SGP8It5WDnCONyApJKRTJ,0.182,0.388,4,-8.672,0,0.0324,0.544,0.00134,0.114,0.0392,139.276
85,Iron Sky,Paolo Nutini,2bcC9Xyi40wnI7Od5uch31,0.387,0.626,1,-7.134,0,0.0344,0.242,0.0012,0.11,0.316,139.724
86,Uncharted,Kensington,5GDUiXsNbBBcHQ5B7z0z3G,0.594,0.527,10,-6.805,1,0.0308,0.14,0.0,0.294,0.226,138.956
87,Master Of Puppets,Metallica,2MuWTIM3b0YEAskbeeFE1i,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173
88,The Show Must Go On - Remastered 2011,Queen,5n6RDaGFSN88oRWuGtYAIN,0.426,0.687,11,-6.926,0,0.0329,0.409,0.0,0.112,0.189,84.141
89,(Sittin' On) the Dock of the Bay,Otis Redding,3zBhihYUHBmGd2bcQIobrF,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621
90,Whole Lotta Rosie,AC/DC,4wYq5wugZDzQiMZQYG4wVB,0.292,0.838,9,-4.459,1,0.078,0.0014,0.479,0.0953,0.423,159.176
91,Hey Jude,The Beatles,1eT2CjXwFXNx6oY5ydvzKU,0.462,0.632,5,-7.438,1,0.0248,0.091,0.0,0.397,0.585,74.268
92,Uprising,Muse,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019
93,Chasing Cars,Snow Patrol,5hnyJvgoWiQUYZttV4wXy6,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011
94,Private Investigations,Dire Straits,5KVak7r5YKcnkmARc0hy0Q,0.356,0.0967,9,-20.084,1,0.0315,0.696,0.691,0.0801,0.067,84.486
95,Clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97
96,Laat Me,Ramses Shaffy,6XzBlaRUFcps7zkKgZWh7E,0.337,0.331,1,-14.199,0,0.0342,0.645,0.0752,0.153,0.35,101.643
97,Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
98,Where The Streets Have No Name - Remastered,U2,4qgZs0RNjdzKAS22lP0QjY,0.49,0.724,2,-9.581,1,0.0366,0.00976,0.0046,0.159,0.292,125.812
99,Gimme Shelter,The Rolling Stones,6H3kDe7CGoWYBabAeVWGiD,0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628
100,Het Regent Zonnestralen,Acda en de Munnik,1a2GeLs7aMPvwJOjcVK0Vl,0.62,0.752,7,-5.647,1,0.0309,0.411,0.0,0.109,0.829,108.09
101,Losing My Religion,R.E.M.,31AOj9sFz2gM0O3hMARRBx,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
102,Tears in Heaven,Eric Clapton,7utRJ4BeYx85khzP3lKoBX,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744
103,Yesterday - Remastered 2009,The Beatles,3BQHpFgAp4l80e1XslIjNI,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529
104,Phantom Of The Opera,Floor Jansen,6ZJ7gv4YmbFAHCHMwsB8ZL,0.471,0.869,0,-6.136,0,0.0473,0.00251,2.41e-05,0.246,0.271,131.956
105,Don't Stop Believin',Journey,4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852
106,Space Oddity - 2015 Remaster,David Bowie,72Z17vmmeQKAg8bptWvpVG,0.31,0.403,0,-13.664,1,0.0326,0.0726,9.27e-05,0.139,0.466,134.48
107,Lola Montez,Volbeat,34rCwPVIy1OZKfIbXC9KmN,0.513,0.875,2,-4.819,1,0.0336,0.000139,3.28e-05,0.0715,0.677,151.986
108,The Chain - 2004 Remaster,Fleetwood Mac,5e9TFTbltYBg2xThimr0rU,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553
109,Blackbird - Remastered 2009,The Beatles,5jgFfDIR6FR0gvlA56Nakr,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699
110,Dreams - 2004 Remaster,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
111,Belfast Child,Simple Minds,0eK3xFRXlXQnwDKkbWHhXu,0.143,0.392,7,-13.005,1,0.0477,0.302,0.0862,0.103,0.295,81.036
112,Suspicious Minds,Elvis Presley,1H5IfYyIIAlgDX8zguUzns,0.487,0.382,7,-10.889,1,0.0309,0.0422,4.74e-06,0.411,0.714,116.557
113,Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372
114,When The Lady Smiles,Golden Earring,6RGmi17H0xpHb7hpMxFwip,0.704,0.816,11,-7.121,1,0.0309,0.438,0.00891,0.354,0.83,131.577
115,Stil In Mij,Van Dik Hout,3xOiF0xnt47PgOwprICudF,0.586,0.653,11,-8.576,1,0.0315,0.215,0.000555,0.133,0.388,99.454
116,Goodnight Saigon,Billy Joel,4X7UqvLO8ThktU9M2XNxW9,0.594,0.391,0,-14.174,1,0.0623,0.132,0.0,0.0711,0.151,129.426
117,The Pretender,Foo Fighters,7x8dCjCr0x6x2lXKujYD34,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984
118,Have You Ever Seen The Rain,Creedence Clearwater Revival,2LawezPeJhN4AWuSB0GtAU,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109
119,Bitter Sweet Symphony,The Verve,57iDDD9N9tTWe75x6qhStw,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176
120,Kleine Jongen,Andre Hazes,6vzj8d0yOzg3ELH2T4u0CC,0.56,0.741,9,-4.755,1,0.031,0.0244,0.0,0.111,0.503,91.202
121,Zombie,The Cranberries,2IZZqH4K02UIYg5EohpNHF,0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973
122,Paranoid,Black Sabbath,1jzDzZWeSDBg5fhNc3tczV,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734
123,House of the Rising Sun,The Animals,4mn2kNTqiGLwaUR8JdhJ1l,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363
124,I Still Haven't Found What I'm Looking For,U2,6wpGqhRvJGNNXwWlPmkMyO,0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894
125,Californication,Red Hot Chili Peppers,48UPSzbZjgc449aqz8bxox,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483
126,Billie Jean,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046
127,Summer Of '69,Bryan Adams,0GONea6G2XdnHWjNZd6zt3,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131
128,Wuthering Heights,Kate Bush,5YSI1311X8t31PBjkBG4CZ,0.481,0.392,1,-11.381,1,0.0312,0.366,0.0452,0.124,0.52,124.572
129,Fragile,Sting,5oE6INocVL9viDow5y8QNM,0.323,0.198,4,-21.035,0,0.0354,0.912,0.0698,0.0889,0.289,82.373
130,Killer Queen - Remastered 2011,Queen,4cIPLtg1avt2Jm3ne9S1zy,0.535,0.651,10,-6.326,1,0.0544,0.391,0.0,0.133,0.612,117.218
131,The Boxer,Simon & Garfunkel,76TZCvJ8GitQ2FA1q5dKu0,0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017
132,Knights of Cydonia,Muse,7ouMYWpwJ422jRcDASZB7P,0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114
133,Wonderwall,Oasis,79RUMZfMNMpqZnswovvTqv,0.412,0.844,2,-5.613,1,0.037,0.00214,0.0,0.134,0.459,174.452
134,Enjoy the Silence,Depeche Mode,6WK9dVrRABMkUXFLNlgWFh,0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788
135,A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97
136,Nobody's Wife,Anouk,1Q0p30HuN1ADMX2CmPzIvO,0.506,0.903,6,-6.684,1,0.0374,0.00764,6.06e-05,0.144,0.5,98.074
137,Hallelujah,Leonard Cohen,7yzbimr8WVyAtBX3Eg6UL9,0.28,0.344,0,-12.577,1,0.0293,0.715,0.00642,0.133,0.232,171.143
138,Come As You Are,Nirvana,0MKGH8UMfCnq5w7nG06oM5,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125
139,Mr. Brightside,The Killers,003vvx7Niy0yvhvHt4a68B,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033
140,The Winner Takes It All,ABBA,3oEkrIfXfSh9zGnE7eBzSV,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15
141,"Bloed, Zweet En Tranen",Andre Hazes,5ZLkc5RY1NM4FtGWEd6HOE,0.598,0.719,5,-4.306,1,0.0289,0.0766,0.0,0.346,0.373,68.01
142,Du hast,Rammstein,5awDvzxWfd53SSrsRZ8pXO,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105
143,Paradise City,Guns N' Roses,3YBZIN3rekqsKxbJc9FZko,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271
144,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,6L5BZEcZmD6RBJnimzlyKr,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71
145,I Want To Break Free,Queen,7iAqvWLgZzXvH38lA06QZg,0.807,0.414,4,-8.903,1,0.0352,0.105,2.57e-05,0.0813,0.502,108.944
146,Someone Like You,Adele,3bNv3VuUOKgrf5hu3YcuRo,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187
147,Your Song,Elton John,38zsOOcu31XbbYj9BIPUF1,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157
148,Don't You (Forget About Me) - 2001 Mix,Simple Minds,1jyKRuaRzjZdfYL72autvr,0.67,0.75,2,-8.606,1,0.0267,0.0831,0.0566,0.293,0.688,111.266
149,Streets of Philadelphia - Single Edit,Bruce Springsteen,3fbnbn6A5O5RNb08tlUEgd,0.741,0.29,5,-13.251,1,0.0302,0.294,0.118,0.0924,0.443,93.699
150,Don't Look Back In Anger,Oasis,3ixTiPABjqkBKPocxq6oIe,0.346,0.916,0,-3.588,1,0.0703,0.0331,3.82e-06,0.117,0.249,164.005
151,Jeanny,Falco,6a0lr0jt8lKDJhsAYA49NS,0.648,0.659,9,-10.456,0,0.0456,0.451,0.0,0.189,0.465,105.914
152,A Whiter Shade of Pale - Original Single Version,Procol Harum,78ZqE2tjAxbqEGGlvGnQfT,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813
153,September,"Earth, Wind & Fire",7Cuk8jsPPoNYQWXK9XRFvG,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901
154,Saturday Night,Herman Brood & His Wild Romance,0oNwIWGkPR3hKjOU8nO3im,0.634,0.614,2,-6.917,1,0.0258,0.598,5.21e-06,0.681,0.546,92.108
155,Perfect Day,Lou Reed,4TOMI010Sd4ZAX4aZ5TS85,0.4,0.267,10,-12.488,1,0.0323,0.744,0.00734,0.103,0.0872,144.799
156,Fields Of Gold,Sting,0I1DJdLt9BKOb7GWmWxCjo,0.651,0.339,2,-11.917,1,0.0246,0.372,0.0141,0.0739,0.32,103.996
157,Proud Mary,Tina Turner,6gJdDnF2TzfA1WPMXuCa3x,0.397,0.499,2,-10.972,1,0.0685,0.0766,1.55e-06,0.111,0.367,171.067
158,Sorry - (Live in Tivoli),Kyteman,2DOSd7L6SxgMqQlkPDt3ZT,0.352,0.473,7,-8.935,0,0.0379,0.943,0.398,0.656,0.201,67.865
159,Ain't No Sunshine,Bill Withers,1k1Bqnv2R0uJXQN4u6LKYt,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169
160,Money For Nothing,Dire Straits,31DvHUCSioX0JD7B4kZMJ9,0.666,0.667,2,-9.305,0,0.0371,0.043,0.0005,0.074,0.679,134.219
161,Ice Queen,Within Temptation,6WISqX9A2CwDs9Xnd9uz6p,0.159,0.556,8,-7.848,0,0.0322,0.0327,0.00236,0.108,0.15,88.195
162,The Last Resort - 2013 Remaster,Eagles,0MrZG1nTNQVzeSJKi6gFVF,0.549,0.28,7,-10.692,1,0.0311,0.474,0.0612,0.16,0.299,125.83
163,Bed Of Roses,Bon Jovi,1zng9uqqXoPkmU05nsAlsw,0.309,0.596,5,-5.599,1,0.0293,0.101,0.0,0.21,0.161,164.587
